# -- This file specifies tag placement in room/area.

# Define number of tags
320

# Define tags (should be the same amount as specified)
# Position values must be in milimeters [mm], tag ID should consist of 10 characters.
# Each tag is defined in seperate line
# Tag is defined in this format - "x,y,id" (without quotation marks). 
# For example, "100,100,1234567890", next line "300,100,0987654321", etc.

160,135,020058067A,1
460,135,4F005565BE,1
760,135,4F00404165,1
1060,135,010043E225,1
1360,135,4F0041ED32,1
1660,135,010033677B,1
1960,135,010037E7C0,1
2260,135,01004B27E5,1
2560,135,02005BB423,1
2860,135,01004A7894,1
3160,135,02006233E8,1
3460,135,4F0041B4B9,1
3760,135,02006234A4,1
4060,135,4F0041B4CE,1
4360,135,4400738B4E,1
4660,135,0100495BAD,1
4960,135,010047CDEA,1
5260,135,01004B8373,1
5560,135,0300FA50B2,1
5860,135,0100494919,1

310,395,010037DFED,1
610,395,4F0040ADB3,1
910,395,4400739A57,1
1210,395,010047DC17,1
1510,395,01004751BC,1
1810,395,01004346D4,1
2110,395,6F001F168B,1
2410,395,01004B4DE8,1
2710,395,4F0040AAA8,1
3010,395,0100421FB4,1
3310,395,4F0040AABD,1
3610,395,0100411242,1
3910,395,4F0041B4B4,1
4210,395,01004AAFBA,1
4510,395,010039D98F,1
4810,395,01004A7671,1
5110,395,010040BF8F,1
5410,395,010039ABD3,1
5710,395,0100475629,1
6010,395,01003A0DBF,1

160,655,0100494E8C,1
460,655,440075E233,1
760,655,4F00558DCE,1
1060,655,010037F476,1
1360,655,0100394408,1
1660,655,01003947DC,1
1960,655,01004B1725,1
2260,655,44007996F2,1
2560,655,01004BB393,1
2860,655,020055B89F,1
3160,655,4400733F30,1
3460,655,020055D4BF,1
3760,655,4400742B43,1
4060,655,0100440886,1
4360,655,440074BAA7,1
4660,655,01004961AA,1
4960,655,010041C942,1
5260,655,4F00415EE1,1
5560,655,01004BE6A3,1
5860,655,010047C488,1

310,915,4400739A16,1
610,915,4400732896,1
910,915,0100331A9D,1
1210,915,0100331B81,1
1510,915,01004B3648,1
1810,915,4F0040ADD2,1
2110,915,6F001F7761,1
2410,915,010048666A,1
2710,915,01004BB189,1
3010,915,01004A4E45,1
3310,915,0100492E8B,1
3610,915,01004B1694,1
3910,915,0100421D22,1
4210,915,4400750FCC,1
4510,915,0100493F42,1
4810,915,6F001FD006,1
5110,915,01004ACF7F,1
5410,915,0100493A90,1
5710,915,0100494E5C,1
6010,915,0100475188,1

160,1175,02003A6120,1
460,1175,01003928A1,1
760,1175,010037B4B6,1
1060,1175,0100336B99,1
1360,1175,0100390B0B,1
1660,1175,01003338AA,1
1960,1175,0100392164,1
2260,1175,01004B4392,1
2560,1175,0200582607,1
2860,1175,01004B35E1,1
3160,1175,02005347F3,1
3460,1175,01004A797C,1
3760,1175,020056D053,1
4060,1175,010043F6F8,1
4360,1175,4400738BD4,1
4660,1175,01004933CE,1
4960,1175,0100491B6E,1
5260,1175,0100494839,1
5560,1175,6F001F16D6,1
5860,1175,010048CA18,1

310,1435,4100241F25,1
610,1435,01004375FD,1
910,1435,0100435944,1
1210,1435,01004915B2,1
1510,1435,0300FA508E,1
1810,1435,4100241F2E,1
2110,1435,0100495E60,1
2410,1435,01004BB3AD,1
2710,1435,01004B74C1,1
3010,1435,01004B8228,1
